Old Site URL,New Site URL,Status,Notes
https://www.skinlaserchicago.com,https://skinlaserchicago.com/,Migrated,Homepage
https://www.skinlaserchicago.com/treatments,https://skinlaserchicago.com/treatments.html,Migrated,Treatments listing
https://www.skinlaserchicago.com/conditions,https://skinlaserchicago.com/conditions.html,Migrated,Conditions listing
https://www.skinlaserchicago.com/about,https://skinlaserchicago.com/about.html,Migrated,About page
https://www.skinlaserchicago.com/contact,https://skinlaserchicago.com/contact.html,Migrated,Contact page
https://www.skinlaserchicago.com/specials,https://skinlaserchicago.com/specials.html,Migrated,Specials page
https://www.skinlaserchicago.com/tatoo-removal-chicago,https://skinlaserchicago.com/treatments/tattoo-removal.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/c02-laser,https://skinlaserchicago.com/treatments/co2-laser.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/rf-microneedling,https://skinlaserchicago.com/treatments/rf-microneedling.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/pixel-8-rf,https://skinlaserchicago.com/treatments/rf-microneedling.html,Migrated - URL changed,Same treatment different name. Needs redirect
https://www.skinlaserchicago.com/microneedling,https://skinlaserchicago.com/treatments/microneedling.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/medical-laser-facial,https://skinlaserchicago.com/treatments/laser-genesis.html,Migrated - URL changed,Same treatment different name. Needs redirect
https://www.skinlaserchicago.com/facial-peels,https://skinlaserchicago.com/treatments/facial-peels.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/ipl-photorejuvenation,https://skinlaserchicago.com/treatments/ipl-photofacial.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/hydrafacial,https://skinlaserchicago.com/treatments/hydrafacial.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/excess-hair,https://skinlaserchicago.com/conditions/excess-hair.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/acne-scarring,https://skinlaserchicago.com/conditions/acne-scarring.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/sagging-skin,https://skinlaserchicago.com/conditions/sagging-skin.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/stretch-marks,https://skinlaserchicago.com/conditions/stretch-marks.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/facial-scars,https://skinlaserchicago.com/conditions/facial-scars.html,Migrated - URL changed,Needs redirect
https://www.skinlaserchicago.com/cellulite,https://skinlaserchicago.com/conditions/cellulite.html,Migrated - URL changed,Needs redirect
